# SentiWords v1.1 (14/03/2018)
# Copyright 2018 Trento RISE and FBK
# All rights reserved.
#
# SentiWords is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWords:
# https://hlt.fbk.eu/technologies/sentiwords
#
# If you use SentiWords, please cite:
# Gatti L., Guerini M. & Turchi M. "SentiWords: Deriving a High Precision and High Coverage Lexicon for Sentiment Analysis". 
# IEEE Transactions on Affective Computing 7.4 (2016): 409-421.
#
# --------------------------------------------
#
# SentiWords is based on SentiWordNet version 3.0.
# SentiWordNet website: http://sentiwordnet.isti.cnr.it/
#
# Each lemma#PoS in this file is associated with the prior polarity value computed from the scores of 
# all the SentiWordNet senses for that lemma#PoS, following the methodology described in Guerini et al. (2015). 
# Prior Polarity values are between -1 (very negative) and +1 (very positive).
#
# --------------------------------------------
#
# lemma#PoS	prior_polarity_score
500th#a	0
50th#a	0
51#a	0
52#a	0
53#a	0
54#a	0
55#a	0
55th#a	0
56#a	0
57#a	0
58#a	0
59#a	0
5th#a	0
6_june_1944#n	0
6-membered#a	0
6#a	0
6#n	0
60_minutes#n	0
60#a	0
60#n	0
60th#a	0
61#a	0
62#a	0
63#a	0
64#a	0
64th#a	0
65#a	0
65th#a	0
66#a	0
67#a	0
68#a	0
69#a	0
6th#a	0
7-membered#a	0
7#a	0
7#n	0
70#a	0
70#n	0
70th#a	0
71#a	0
72#a	0
73#a	0
74#a	0
75#a	0
75th#a	0
76#a	0
77#a	0
78#a	0
78#n	0
79#a	0
7th#a	0
8_may_1945#n	0
8-membered#a	0
8#a	0
8#n	0
80#a	0
80#n	0
80th#a	0
81#a	0
82#a	0
83#a	0
84#a	0
85#a	0
85th#a	0
86#a	0
87#a	0
88#a	0
880_yards#n	0
89#a	0
8th#a	0
8vo#n	0
9-11#n	0
9-membered#a	0
9/11#n	0
9#a	0
9#n	0
90#a	0
90#n	0
90th#a	0
91#a	0
92#a	0
93#a	0
94#a	0
95#a	0
95th#a	0
96#a	0
97#a	0
98#a	0
99#a	0
9th#a	0
a_battery#n	0
a_bit#r	0
a_capella_singing#n	0
a_cappella_singing#n	0
a_cappella#a	0
a_cappella#r	0
a_couple_of#a	0
a_few#a	0
a_fortiori#r	0.15793
a_good_deal#r	0.15793
a_great_deal#r	0.19877
a_horizon#n	0
a_hundred_times#r	0
a_kempis#n	0
a_la_carte#a	0
a_la_carte#n	0
a_la_carte#r	0
a_la_mode#a	0
a_la_mode#r	0
a_level#n	0
a_little#r	0
a_lot#r	0.15793
a_million_times#r	0
a_posteriori#a	0.05272
a_posteriori#r	0
a_priori#a	0.05568
a_priori#r	0
a_trifle#r	0
a-bomb#n	0
a-horizon#n	0
a-line#n	0
a-list#n	0
a-ok#a	0.12208
a-okay#a	0.12208
a-one#a	0.28394
a-scan_ultrasonography#n	0
a-team#n	0
a._a._michelson#n	0
a._a._milne#n	0
a._conan_doyle#n	0
a._e._burnside#n	0
a._e._housman#n	0.12208
a._e._kennelly#n	0
a._e._w._mason#n	0
a._noam_chomsky#n	0
a._testudineus#n	0
a.d.#r	0
a.e.#n	0
a.k.a.#r	0
a.m.#a	0
a.m.#r	0
a'man#n	0
a#n	0.04128
aa#n	0
aaa#n	0.04030
aachen#n	0
aah#v	0
aaland_islands#n	0
aalborg#n	0
aalii#n	0
aalst#n	0
aalto#n	0
aar#n	0
aardvark#n	0
aardwolf#n	0
aare_river#n	0
aare#n	0
aarhus#n	0
aaron_burr#n	0
aaron_copland#n	0
aaron_montgomery_ward#n	0
aaron's_rod#n	-0.07997
aaron#n	0
aarp#n	0
aas#n	0
aave#n	0
ab_initio#r	0
ab#n	0
aba_transit_number#n	0
aba#n	0
abaca#n	0
abacinate#v	0
aback#r	0.01301
abactinal#a	0
abacus#n	0
abadan#n	0
abaft#r	0
abalone#n	0
abamp#n	0
abampere#n	0
abandon#n	-0.54173
abandon#v	-0.49929
abandoned_infant#n	0
abandoned_person#n	-0.28345
abandoned_ship#n	0
abandoned#a	-0.05247
abandonment#n	-0.54139
abarticulation#n	0
abase#v	-0.38925
abasement#n	-0.12026
abash#v	-0.19821
abashed#a	-0.28345
abashment#n	-0.25931
abasia_trepidans#n	-0.28345
abasia#n	-0.33433
abasic#a	-0.17327
abatable_nuisance#n	-0.07997
abatable#a	0.28394
abate#v	-0.06819
abatement_of_a_nuisance#n	0
abatement#n	-0.02960
abatic#a	-0.17327
abatis#n	0
abator#n	0
abattis#n	0
abattoir#n	0
abaxial#a	0
abaxially#r	0.15793
abaya#n	0
abb#n	0
abbacy#n	0
abbatial#a	0
abbe_condenser#n	0
abbe#n	0.12208
abbess#n	0
abbey#n	0
abbot#n	0.21734
abbott_lawrence_lowell#n	0
abbreviate#v	0
abbreviated#a	0
abbreviation#n	0
abbreviator#n	0
abc's#n	0
abc#n	0
abcoulomb#n	0
abcs#n	0
abdias#n	-0.08847
abdicable#a	0.15199
abdicate#v	0
abdication#n	0
abdicator#n	0
abdomen#n	0
abdominal_actinomycosis#n	-0.07997
abdominal_aorta#n	0
abdominal_aortic_aneurysm#n	0.04030
abdominal_breathing#n	-0.19821
abdominal_cavity#n	0
abdominal_delivery#n	0
abdominal_external_oblique_muscle#n	0
abdominal_muscle#n	0
abdominal_nerve_plexus#n	0
abdominal_pregnancy#n	0
abdominal_wall#n	0
abdominal#a	0
abdominal#n	0
abdominocentesis#n	0
abdominoplasty#n	0
abdominous#a	0
abdominousness#n	0
abdominovesical#a	0
abduce#v	0
abducens_muscle#n	0
abducens_nerve#n	0
abducens#n	0
abducent_nerve#n	0
abducent#a	0
abducent#n	0
abduct#v	-0.61495
abducting#a	0
abduction#n	-0.77036
abductor_muscle#n	0
abductor#n	0
abeam#r	0
abecedarian#a	0
abecedarian#n	0
abecedarius#n	0
abed#r	0
abel_janszoon_tasman#n	0
abel_tasman#n	0
abel#n	0
abelard#n	0
abele#n	0
abelia#n	0
abelian_group#n	0
abelmoschus_esculentus#n	0
abelmoschus_moschatus#n	0
abelmoschus#n	0
abelmosk#n	0
abenaki#n	0
aberdare#n	0
aberdeen_angus#n	0
aberdeen#n	0
aberdonian#a	0
aberrance#n	0.12208
aberrancy#n	0.12208
aberrant#a	0.15199
aberrant#n	0
aberrate#v	-0.08847
aberration#n	0.21871
abet#v	0
abetalipoproteinemia#n	-0.42036
abetment#n	0
abettal#n	0
abetter#n	0
abettor#n	0
abeyance#n	0
abeyant#a	-0.05621
abfarad#n	0
abhenry#n	0
abhor#v	-0.19821
abhorrence#n	-0.28345
abhorrent#a	-0.42036
abhorrer#n	0
abidance#n	0.25049
abide_by#v	0.17964
abide#v	0.10518
abiding#a	0.15579
abidjan#n	0
abience#n	0
abient#a	0.06700
abies_alba#n	0
abies_amabilis#n	0
abies_balsamea#n	0
abies_bracteata#n	0
abies_concolor#n	0
abies_fraseri#n	0
abies_grandis#n	0
abies_lasiocarpa#n	0
abies_lowiana#n	0
abies_venusta#n	0
abies#n	0
abila#n	0
abilene#n	0
ability#n	0.54222
abiogenesis#n	0
abiogenetic#a	0
abiogenist#n	0
abiotrophy#n	-0.17327
abject#a	-0.29370
abjection#n	-0.07997
abjectly#r	0.17826
abjuration#n	-0.38925
abjure#v	-0.38925
abjurer#n	0
abkhas#n	0
abkhasian#n	0
abkhaz#a	0
abkhaz#n	0
abkhazia#n	0
abkhazian#a	0
abkhazian#n	0
ablactate#v	0
ablactation#n	0
ablate#v	-0.02960
ablated#a	-0.07997
ablation#n	0
ablative_absolute#n	0
ablative_case#n	0
ablative#a	0.16575
ablative#n	0
ablaut#n	0.21734
ablaze#a	0.02067
able_seaman#n	0
able-bodied_seaman#n	0
able-bodied#a	0.15793
able-bodiedism#n	0.04030
able-bodism#n	0.04030
able#a	0.44415
ableism#n	0.04030
ablepharia#n	0.21734
ablism#n	0.04030
abloom#a	0.12208
abls#n	0
ablution#n	0
ablutionary#a	0
ably#r	0.17826
abm#n	0
abnaki#a	0
abnaki#n	0
abnegate#v	0.12545
abnegation#n	0.10670
abnegator#n	0
abney_level#n	0
abnormal_psychology#n	0.12208
abnormal#a	-0.31840
abnormalcy#n	0.15793
abnormality#n	-0.50054
abnormally#r	0.12208
abo_antibodies#n	0
abo_blood_group_system#n	0
abo_group#n	0
abo_system#n	0
abo#n	0
aboard#r	0
abocclusion#n	0.12208
abode#n	0
abohm#n	0
abolish#v	0
abolishable#a	0.28394
abolishment#n	0
abolition#n	0
abolitionary#a	0
abolitionism#n	0
abolitionist#n	0
abomasal#a	0
abomasum#n	0
abominable_snowman#n	0
abominable#a	-0.25985
abominably#r	-0.42034
abominate#v	-0.19821
abomination#n	-0.57547
abominator#n	-0.28345
abor#n	0
aborad#r	0
aboral#a	0
aboriginal_australian#n	0
aboriginal#a	0
aboriginal#n	0
aborigine#n	0
abort#n	0
abort#v	-0.47889
aborticide#n	0
abortifacient#a	-0.28345
abortifacient#n	0
abortion_pill#n	0
abortion-inducing_drug#n	0
abortion#n	0
abortionist#n	0
abortive#a	-0.19821
abortively#r	0.15793
abortus#n	0
aboulia#n	0
aboulic#a	-0.42036
abound_in#v	-0.07997
abound#v	-0.02960
abounding#a	-0.19821
about_turn#n	0
about-face#n	0
about-face#v	0
about#a	0
about#r	0.11171
above_all#r	0
above-mentioned#a	-0.07997
above-named#a	-0.07997
above#a	-0.07997
above#n	0
above#r	0.10670
aboveboard#a	-0.26536
aboveboard#r	0.17826
aboveground#a	0
abracadabra#n	0
abrachia#n	0
abradant#n	0
abrade#v	-0.02298
abrader#n	0
abrading_stone#n	0
abraham_lincoln#n	0
abraham_stoker#n	0
abraham's_bosom#n	0
abraham#n	0
abramis_brama#n	0
abramis#n	0
abranchial#a	0
abranchiate#a	0
abranchious#a	0
abrase#v	0
abrasion#n	0.00560
abrasive_material#n	0
abrasive#a	-0.18368
abrasive#n	0
abrasiveness#n	-0.04304
abreact#v	-0.39584
abreaction#n	0.17826
abreast#a	-0.10849
abreast#r	0
abridge#v	0
abridged#a	0
abridgement#n	0
abridger#n	0
abridgment#n	0
abroach#a	0
abroad#a	0
abroad#r	0
abrocoma#n	0
abrocome#n	0
abrogate#v	0
abrogation#n	0
abrogator#n	0
abronia_elliptica#n	0
abronia_fragrans#n	0
abronia_latifolia#n	0
abronia_maritima#n	0
abronia_umbellata#n	0
abronia_villosa#n	0
abronia#n	0
abrupt#a	-0.43132
abruptio_placentae#n	0
abruption#n	0
abruptly-pinnate_leaf#n	0.15793
abruptly-pinnate#a	0.15793
abruptly#r	0
abruptness#n	0.06405
abruzzi_e_molise#n	0
abruzzi#n	0
abs#n	0
abscess#n	0
abscessed_tooth#n	0
abscessed#a	-0.34088
abscise#v	0
abscissa#n	0
abscission#n	0
abscond#v	0
absconder#n	0.17826
abscondment#n	0
abseil#n	0
abseil#v	0
abseiler#n	0
absence_seizure#n	0
absence_without_leave#n	-0.19821
absence#n	-0.29934
absent#a	-0.23070
absent#v	0
absentee_ballot#n	0
absentee_rate#n	-0.34088
absentee#n	-0.38925
absenteeism#n	0.12208
absently#r	0.21734
absentminded#a	0.08478
absentmindedly#r	0.21734
absentmindedness#n	0.08478
absinth#n	0
absinthe_oil#n	0
absinthe#n	0
absolute_alcohol#n	-0.17327
absolute_ceiling#n	0
absolute_frequency#n	0
absolute_magnitude#n	0
absolute_majority#n	0
absolute_pitch#n	0
absolute_scale#n	0
absolute_space#n	0
absolute_temperature#n	0
absolute_threshold#n	0
absolute_value#n	0
absolute_viscosity#n	0
absolute_zero#n	0
absolute#a	0.15701
absolute#n	0.10167
absolutely#r	0.21734
absoluteness#n	0.15199
absolution#n	0
absolutism#n	-0.15856
absolutist#a	0
absolutist#n	0
absolutistic#a	0
absolve#v	-0.06059
absolved#a	0.28394
absolver#n	0.15793
absolvitory#a	0.15793
absorb#v	0.15161
absorbable#a	0.21734
absorbance#n	0
absorbate#n	0.21734
absorbed#a	0.05433
absorbefacient#a	0.17826
absorbency#n	0
absorbent_cotton#n	0
absorbent_material#n	0
absorbent#a	0
absorbent#n	0
absorber#n	0
absorbing#a	0.21734
absorptance#n	0
absorption_band#n	0
absorption_coefficient#n	0
absorption_factor#n	0
absorption_indicator#n	0
absorption_spectrum#n	0
absorption_unit#n	0
absorption#n	0.04895
absorptive#a	0
absorptivity#n	0
absquatulate#v	0
abstain#v	-0.19771
abstainer#n	0
abstemious#a	0.12604
abstemiously#r	0.15793
abstemiousness#n	-0.12940
abstention#n	0.04030
abstentious#a	-0.38925
abstinence#n	-0.38301
abstinent#a	-0.38925
abstinent#n	0
abstract_art#n	0
abstract_artist#n	0
abstract_entity#n	0
abstract_expressionism#n	0.12208
abstract_thought#n	0.12208
abstract#a	0
abstract#n	0
abstract#v	0.06127
abstracted#a	0.08478
abstractedly#r	0.21734
abstractedness#n	0
abstracter#n	0
abstraction#n	0
abstractionism#n	-0.09134
abstractionist#a	0
abstractionist#n	0
abstractive#a	0.17826
abstractly#r	0
abstractness#n	-0.01819
abstractor#n	0
abstruse#a	-0.03118
abstrusely#r	-0.19821
abstruseness#n	0.09162
abstrusity#n	0.17826
absurd#a	-0.14641
absurd#n	0
absurdity#n	-0.23892
absurdly#r	0
absurdness#n	0
abu_ali_al-husain_ibn_abdallah_ibn_sina#n	0
abu_dhabi#n	0
abu_hafs_al-masri_brigades#n	0
abu_nidal_organization#n	0
abu_sayyaf#n	0
abudefduf_saxatilis#n	0
abudefduf#n	0
abuja#n	0
abukir_bay#n	0
abukir#n	0
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd#n	0
abulia#n	0
abulic#a	-0.42036
abundance#n	0
abundant#a	0.60260
abundantly#r	0
abuse#n	-0.86941
abuse#v	-0.86257
abused#a	-0.17709
abuser#n	-0.19821
abusive#a	-0.78577
abusively#r	-0.03118
abut#v	0
abutilon_theophrasti#n	0
abutilon#n	0
abutment_arch#n	0
abutment#n	0
abutter#n	0
abuzz#a	0
abvolt#n	0
abwatt#n	0
aby_moritz_warburg#n	0
aby_warburg#n	0
aby#v	-0.07997
abydos#n	0
abye#v	-0.07997
abyla#n	0
abysm#n	0
abysmal#a	-0.34265
abysmally#r	-0.42036
abyss#n	0
abyssal_zone#n	0
abyssal#a	0
abyssinia#n	0
abyssinian_banana#n	0
abyssinian_cat#n	0
abyssinian#n	0
ac#n	0
acacia_auriculiformis#n	0
acacia_cambegei#n	-0.38925
acacia_catechu#n	0
acacia_dealbata#n	0
acacia_farnesiana#n	0
acacia_melanoxylon#n	0.08478
acacia_pycnantha#n	0
acacia_xanthophloea#n	0
acacia#n	0
academe#n	0
academia#n	0
academic_administrator#n	0
academic_costume#n	0
academic_degree#n	0
academic_department#n	0
academic_freedom#n	-0.28345
academic_gown#n	-0.07997
academic_program#n	0
academic_relation#n	0.12208
academic_requirement#n	0
academic_robe#n	-0.07997
academic_session#n	0
academic_term#n	0
academic_year#n	0
academic#a	0.43201
academic#n	0
academically#r	0.12208
academician#n	0.08411
academicianship#n	0
academicism#n	-0.07997
academism#n	-0.07997
academy_award#n	0
academy_of_motion_picture_arts_and_sciences#n	0
academy_of_television_arts_and_sciences#n	0
academy#n	0.03539
acadia_national_park#n	0.15793
acadia#n	0
acadian#n	0
acalypha_virginica#n	0
acalypha#n	0
acantha#n	0
acanthaceae#n	0
acanthion#n	0
acanthisitta_chloris#n	0
acanthisitta#n	0
acanthisittidae#n	0
acanthocephala#n	0
acanthocephalan#n	-0.19821
acanthocereus_pentagonus#n	0
acanthocereus_tetragonus#n	0
acanthocereus#n	0
acanthocybium_solandri#n	0
acanthocybium#n	0
acanthocyte#n	-0.07997
acanthocytosis#n	-0.07997
acanthoid#a	0.12208
acantholysis#n	0
acanthoma#n	0
acanthophis_antarcticus#n	-0.28345
acanthophis#n	0
acanthopterygian#n	0
acanthopterygii#n	0.12208
acanthoscelides_obtectus#n	0
acanthoscelides#n	0
acanthosis_nigricans#n	-0.06110
acanthosis#n	0
acanthotic#a	0
acanthous#a	0.12208
acanthuridae#n	0
acanthurus_chirurgus#n	0
acanthurus#n	0
acanthus_family#n	0
acanthus_mollis#n	0
acanthus#n	0
acapnia#n	0
acapnial#a	0
acapnic#a	0
acapnotic#a	0
acapulco_de_juarez#n	0
acapulco_gold#n	0
acapulco#n	0
acaracide#n	0
acardia#n	-0.34088
acariasis#n	0
acaricide#n	0
acarid#n	0
acaridae#n	0
acaridiasis#n	0
acarina#n	0
acarine#n	0
acariosis#n	0
acaroid_resin#n	0
acarophobia#n	-0.07997
acarpellous#a	0
acarpelous#a	0
acarpous#a	-0.28345
acarus#n	0
acaryote#n	-0.28345
acatalectic#a	0.12208
acatalectic#n	-0.34088
acataphasia#n	-0.34088
acathexia#n	-0.28345
acathexis#n	-0.28345
acaudal#a	-0.19821
acaudate#a	-0.19821
acaulescent#a	0.15793
acc#n	0
accaroid_resin#n	0
accede#v	-0.00332
accelerando#a	0
accelerando#n	0
accelerando#r	0
accelerate#v	0
accelerated#a	0
acceleration_unit#n	0
acceleration#n	0
accelerative#a	-0.06110
accelerator_factor#n	-0.19821
accelerator_pedal#n	0
accelerator#n	0
acceleratory#a	-0.06110
accelerometer#n	0
accent_mark#n	0
accent#n	0.33124
accent#v	0
accented#a	0
accenting#n	0.12208
accentor#n	0
accentual_system#n	0
accentual#a	0
accentuate#v	0
accentuation#n	0.10670
accept#v	0.34280
acceptability#n	0.06700
acceptable#a	0.36908
acceptableness#n	0.06700
acceptably#r	0.21734
acceptance_sampling#n	0
acceptance#n	0.50316
acceptant#a	0.15793
acceptation#n	0.17770
accepted#a	0.21734
accepting#a	0.08478
acceptive#a	0.06992
acceptor_rna#n	-0.28345
acceptor#n	0
access_code#n	0
access_road#n	0
access_time#n	0
access#n	0
access#v	0
accessary#a	0.17826
accessary#n	0
accessibility#n	0.17537
accessible#a	0.39061
accession#n	0.01777
accession#v	0
accessional#a	0.12208
accessorial#a	0.17826
accessory_after_the_fact#n	0
accessory_before_the_fact#n	0
accessory_cephalic_vein#n	0
accessory_during_the_fact#n	-0.07997
accessory_fruit#n	0
accessory_hemiazygos_vein#n	0
accessory_hemiazygous_vein#n	0
accessory_nerve#n	0
accessory_vertebral_vein#n	0
accessory#a	0.12933
accessory#n	0.05801
accho#n	0
acciaccatura#n	0
accidence#n	0
accident_surgery#n	0
accident-prone#a	-0.07997
accident#n	-0.60055
accidental_injury#n	-0.42036
accidental#a	-0.38663
accidental#n	-0.42951
accidentally#r	0.12774
accipiter_cooperii#n	0
accipiter_gentilis#n	0
accipiter_nisus#n	0
accipiter#n	0
accipitridae#n	0
accipitriformes#n	0
accipitrine#a	0
acclaim#n	0.25193
acclaim#v	0.24935
acclamation#n	0.28394
acclimate#v	-0.28345
acclimation#n	0
acclimatisation#n	0
acclimatise#v	-0.28345
acclimatization#n	0
acclimatize#v	-0.28345
acclivitous#a	0
acclivity#n	0
accolade#n	0.21734
accommodate#v	0.28026
accommodating_iol#n	0
accommodating_lens_implant#n	0
accommodating#a	0.21734
accommodatingly#r	0
accommodation_endorser#n	-0.34088
accommodation_ladder#n	0
accommodation_reflex#n	0
accommodation#n	0.48060
accommodational#a	0
accommodative#a	0.34273
accommodator#n	0
accompanied#a	0
accompaniment#n	0
accompanist#n	0
accompany#v	0
accompanying_vein#n	0
accompanying#a	0
accompanyist#n	0
accomplice#n	0
accomplish#v	0.66303
accomplishable#a	0.15793
accomplished_fact#n	0.04030
accomplished#a	0.28448
accomplishment#n	0.76638
accord_and_satisfaction#n	0
accord#n	0.29764
accord#v	0.31159
accordance_of_rights#n	0.12208
accordance#n	-0.08406
accordant#a	0.23008
according#a	0.10670
accordingly#r	0.05866
accordion_door#n	0
accordion#n	0
accordionist#n	0
accost#v	0.10670
accouchement#n	0
accoucheur#n	0
accoucheuse#n	0
account_book#n	0
account_executive#n	0
account_for#v	0
account_payable#n	0.12208
account_representative#n	0
account_statement#n	0
account#n	0.09658
account#v	0
accountability#n	0
accountable#a	0
accountancy#n	0
accountant#n	0
accountantship#n	0
accounting_data#n	0
accounting_entry#n	0
accounting_firm#n	0
accounting_principle#n	0
accounting_standard#n	0
accounting_system#n	0
accounting#n	0
accounts_payable#n	0
accounts_receivable#n	0
accouter#v	0
accoutered#a	0
accouterment#n	-0.28345
accoutre#v	0
accoutred#a	0
accoutrement#n	-0.28345
accra#n	0
accredit#v	0
accreditation#n	0
accredited#a	0
accrete#v	0
accretion#n	0.08080
accretionary#a	-0.28345
accretive#a	-0.19821
accroides_gum#n	0
accroides_resin#n	0
accroides#n	0
accrual_basis#n	0
accrual#n	0
accrue#v	0
accrued#a	0
accruement#n	0
acculturate#v	0
acculturation#n	0.16190
acculturational#a	0
acculturative#a	0
accumbent#a	-0.07997
accumulate#v	0
accumulated#a	0
accumulation#n	-0.09325
accumulative#a	0.17964
accumulator_register#n	0
accumulator#n	0
accuracy#n	0.33081
accurate#a	0.61745
accurately#r	0.15754
accurse#v	-0.06110
accursed#a	-0.44531
accurst#a	-0.19821
accusal#n	0
accusation#n	-0.35913
accusative_case#n	0
accusative#a	-0.16702
accusative#n	0
accusatorial#a	0
accusatory#a	-0.34088
accuse#v	-0.62818
accused#n	0
accuser#n	-0.08901
accusing#a	-0.34088
accusingly#r	0.08478
accusive#a	-0.34088
accustom#v	0
accustomed#a	0.21690
ace_inhibitor#n	0
ace_of_clubs#n	0
ace_of_diamonds#n	0
ace_of_hearts#n	0
ace_of_spades#n	-0.07997
ace#a	0.32166
ace#n	0.32314
ace#v	0.34498
acebutolol#n	0
acedia#n	-0.01819
acellular_slime_mold#n	-0.07997
acellular#a	-0.34088
acentric_chromosome#n	-0.19821
acentric#a	-0.29522
acephalia#n	-0.34088
acephalism#n	-0.34088
acephalous#a	0.04030
acephaly#n	-0.34088
acer_argutum#n	0
acer_campestre#n	0
acer_circinatum#n	0
acer_glabrum#n	0
acer_japonicum#n	0
acer_macrophyllum#n	0
acer_negundo_californicum#n	0
acer_negundo#n	0
acer_palmatum#n	0
acer_pennsylvanicum#n	0
acer_platanoides#n	0
acer_pseudoplatanus#n	0
acer_rubrum#n	0
acer_saccharinum#n	0
acer_saccharum#n	0
acer_spicatum#n	0
acer#n	0
aceraceae#n	0
acerate_leaf#n	0
acerate#a	0
